Definição Synset,ID Synset,Definição Relacionada,ID Relacionada,Relação
American swift that nests in e.g. unused chimneys,chimney_swift.n.01,a small bird that resembles a swallow and is noted for its rapid flight,swift.n.03,Hypernyms
a small inflamed elevation of skin containing pus; a blister filled with pus,pustule.n.01,(pathology) an elevation of the skin filled with serous fluid,blister.n.03,Hypernyms
a small inflamed elevation of skin containing pus; a blister filled with pus,pustule.n.01,a small inflamed elevation of the skin; a pustule or papule; common symptom in acne,pimple.n.01,Hypernyms
a small inflamed elevation of skin containing pus; a blister filled with pus,pustule.n.01,a pustule in an eruptive disease,pock.n.01,Hyponyms
the act of gouging,gouge.n.03,the act of creating by removing something,creating_by_removal.n.01,Hypernyms
small siskin-like finch with a red crown,redpoll.n.01,any of numerous small songbirds with short stout bills adapted for crushing seeds,finch.n.01,Hypernyms
the act of breathing heavily through the nose (as when the nose is congested),snuffle.n.01,the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation,breathing.n.01,Hypernyms
the branch of physics concerned with matter in its plasma phase,plasma_physics.n.01,the science of matter and energy and their interactions,physics.n.01,Hypernyms
one species: Australian pitcher plant,cephalotus.n.01,a genus of dicotyledonous plants,rosid_dicot_genus.n.01,Hypernyms
Chinese fruit having a thin brittle shell enclosing a sweet jellylike pulp and a single seed; often dried,litchi.n.02,edible reproductive body of a seed plant especially one having sweet flesh,edible_fruit.n.01,Hypernyms
be accepted as something or somebody in a false character or identity,pass_off.v.01,give a certain impression or have a certain outward aspect,look.v.02,Hypernyms
the repetition of an experiment in order to test the validity of its conclusion,replication.n.07,the act of doing or performing again,repetition.n.02,Hypernyms
a former political party in the United States; founded in 1825 in opposition to Freemasonry in public affairs,anti-masonic_party.n.01,an organization to gain political power,party.n.01,Hypernyms
support consisting of the movable part of a lathe that slides along the bed in alignment with the headstock and is locked into position to support the free end of the workpiece,tailstock.n.01,any device that bears the weight of another thing,support.n.10,Hypernyms
an adrenal-cortex hormone (trade names Hydrocortone or Cortef) that is active in carbohydrate and protein metabolism,hydrocortisone.n.01,a steroid hormone produced by the adrenal cortex or synthesized; administered as drugs they reduce swelling and decrease the body's immune response,corticosteroid.n.01,Hypernyms
"act, feel, or give mutually or in return",reciprocate.v.01,"perform an action, or work out or perform (an action)",act.v.01,Hypernyms
"act, feel, or give mutually or in return",reciprocate.v.01,return in kind,return.v.06,Hyponyms
a yarn made partly or entirely of metal,metallic.n.02,a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving,thread.n.01,Hypernyms
herring-like food fishes that migrate from the sea to fresh water to spawn,shad.n.02,any of numerous soft-finned schooling food fishes of shallow waters of northern seas,clupeid_fish.n.01,Hypernyms
herring-like food fishes that migrate from the sea to fresh water to spawn,shad.n.02,any fish used for food by human beings,food_fish.n.01,Hypernyms
herring-like food fishes that migrate from the sea to fresh water to spawn,shad.n.02,European shad,allice_shad.n.01,Hyponyms
herring-like food fishes that migrate from the sea to fresh water to spawn,shad.n.02,shad of Atlantic coast of North America; naturalized to Pacific coast,common_american_shad.n.01,Hyponyms
herring-like food fishes that migrate from the sea to fresh water to spawn,shad.n.02,shad that spawns in streams of the Mississippi drainage; very similar to Alosa sapidissima,river_shad.n.01,Hyponyms
a taster who evaluates the quality of wines,wine_taster.n.01,someone who samples food or drink for its quality,taster.n.01,Hypernyms
an announcer on television,tv_announcer.n.01,"reads news, commercials on radio or television",announcer.n.02,Hypernyms
a drinking glass with a base and stem,goblet.n.01,a container for holding liquids while drinking,glass.n.02,Hypernyms
one species: yellow ageratum,lonas.n.01,genus of more or less advanced dicotyledonous herbs and some trees and shrubs,asterid_dicot_genus.n.01,Hypernyms
golf wood with a metal head instead of the traditional wooden head,metal_wood.n.01,a golf club with a long shaft used to hit long shots; originally made with a wooden head,wood.n.08,Hypernyms
an agency of the executive branch of government,executive_agency.n.01,an administrative unit of government,agency.n.01,Hypernyms
an agency of the executive branch of government,executive_agency.n.01,a former executive agency (from 1946 to 1974) that was responsible for research into atomic energy and its peacetime uses in the United States,atomic_energy_commission.n.01,Hyponyms
an agency of the executive branch of government,executive_agency.n.01,an executive agency responsible for providing economic advice to the President,council_of_economic_advisors.n.01,Hyponyms
an agency of the executive branch of government,executive_agency.n.01,the executive agency that advises the President on protecting the environment,council_on_environmental_policy.n.01,Hyponyms
an agency of the executive branch of government,executive_agency.n.01,the executive agency that advises the President on military questions; composed of the chiefs of the United States Army and the United States Navy and the United States Air Force and the commandant of the United States Marine Corps,joint_chiefs_of_staff.n.01,Hyponyms
an agency of the executive branch of government,executive_agency.n.01,a committee in the executive branch of government that advises the president on foreign and military and national security; supervises the Central Intelligence Agency,national_security_council.n.01,Hyponyms
an agency of the executive branch of government,executive_agency.n.01,the executive agency that advises the President on the federal budget,office_of_management_and_budget.n.01,Hyponyms
an agency of the executive branch of government,executive_agency.n.01,the executive agency that administers the President's policies on international trade,united_states_trade_representative.n.01,Hyponyms
an object of extravagant short-lived passion,infatuation.n.03,the focus of cognitions or feelings,object.n.04,Hypernyms
walk with slow or fast paces,pace.v.01,use one's feet to advance; advance by steps,walk.v.01,Hypernyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,any solid substance (as opposed to liquid) that is used as a source of nourishment,food.n.02,Hypernyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,a pasta made in northern Africa of crushed and steamed semolina,couscous.n.02,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,small balls or strips of boiled or steamed dough,dumpling.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,"pasta shaped with scalloped edges and pinched in the middle, suggestive of a bow tie",farfalle.n.01,Hyponyms
shaped and dried dough made from flour and water and sometimes egg,pasta.n.02,extremely fine pasta thinner than vermicelli,fedelline.n.01,Hyponyms
